dataset,baseline,poison_frac,trusted_poison,scoring,realized_error,err_lo,err_hi,human_cost,applied_contamination,thm2_bound,within_thm2_bound,backend
flights,CARE,0.0,True,errors,0.033869513724034205,0.02377471941444369,0.04526784657806186,0.8116248348745045,0.0,0.2,True,bclean:csvs/bclean_flights_mapped.csv
flights,LLMOnly,0.0,True,errors,0.5019154557463673,0.4982826948480845,0.505217965653897,0.0,0.0,,,bclean:csvs/bclean_flights_mapped.csv
flights,CARE,0.05,True,errors,0.07467513952062939,0.06324447749090996,0.08815376466461367,0.8121532364597094,0.046577002956762766,0.23726160236541022,True,bclean:csvs/bclean_flights_mapped.csv
flights,LLMOnly,0.05,True,errors,0.5237120211360634,0.5198150594451784,0.5267503302509907,0.0,0.04676354029062087,,,bclean:csvs/bclean_flights_mapped.csv
flights,CARE,0.1,True,errors,0.11376144044194647,0.09873333144024984,0.13205832761451738,0.8189564068692207,0.08739703727271289,0.26991762981817036,True,bclean:csvs/bclean_flights_mapped.csv
flights,LLMOnly,0.1,True,errors,0.5479524438573316,0.5452443857331571,0.5506605019815061,0.0,0.09491413474240423,,,bclean:csvs/bclean_flights_mapped.csv
flights,CARE,0.2,True,errors,0.20838658652933534,0.18779338403539858,0.2299371756043281,0.8334214002642009,0.187869903008377,0.3502959224067016,True,bclean:csvs/bclean_flights_mapped.csv
flights,LLMOnly,0.2,True,errors,0.5980845442536328,0.594782034346103,0.6015852047556143,0.0,0.1953764861294584,,,bclean:csvs/bclean_flights_mapped.csv
