dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital_ni_inner10,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,LLMOnly,-,0.05,errors,0.0,0.2271870794078062,0.7728129205921939,0.23082099596231492,False,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,LLMOnly,-,0.1,errors,0.0,0.2271870794078062,0.7728129205921939,0.23082099596231492,False,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,marginal,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,mondrian,0.2,errors,0.9374666666666667,0.05682157521463234,0.10738937138491304,0.08656015037593986,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,LLMOnly,-,0.2,errors,0.0,0.2271870794078062,0.7728129205921939,0.23082099596231492,False,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/2/baran_hospital_ni_inner10_mapped.csv
