proposer,dataset,partition,draw,stratum,repairs,correct,error_rate
baran,tax,mondrian,5,col:marital_status,200,200,0.0
baran,tax,mondrian,5,col:has_child,200,196,0.02
baran,tax,mondrian,5,col:child_exemp,200,200,0.0
baran,tax,mondrian,5,col:city,200,200,0.0
baran,tax,mondrian,5,col:single_exemp,200,200,0.0
baran,tax,column,5,col:rate,87342,87342,0.0
baran,tax,column,5,col:zip,31311,26399,0.1569
baran,tax,column,5,col:l_name,694,158,0.7723
baran,tax,column,5,col:state,600,600,0.0
baran,tax,column,5,col:f_name,272,55,0.7978
baran,tax,column,5,col:marital_status,200,200,0.0
baran,tax,column,5,col:has_child,200,196,0.02
baran,tax,column,5,col:child_exemp,200,200,0.0
baran,tax,column,5,col:city,200,200,0.0
baran,tax,column,5,col:single_exemp,200,200,0.0
