proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,draw,alpha,n,error_cells,coverage,acc,pi0,pi_alpha,pi_alpha_floor,n_strata,strata_certifiable,A,A_queue,R,covered,gap,empty,predicted_empty
baran,beers,inner,30,beers_ni_inner30,0.23909,marginal,marginal,3,0.05,1600,5762,0.2777,0.195,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,marginal,marginal,3,0.1,1600,5762,0.2777,0.195,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,marginal,marginal,3,0.2,1600,5762,0.2777,0.195,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,0,0.05,1410,5762,0.2447,0.3099,0.0,0.2213,0.2213,10,1,0.0,0.0,0.0,True,-0.2213,True,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,0,0.1,1410,5762,0.2447,0.3099,0.0,0.2213,0.2213,10,1,0.1548,0.0379,0.0223,True,-0.0665,False,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,0,0.2,1410,5762,0.2447,0.3099,0.0,0.2213,0.2213,10,1,0.2212,0.0541,0.0287,True,-0.0001,False,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,1,0.05,2054,5762,0.3565,0.2225,0.0,0.1519,0.1519,10,1,0.0,0.0,0.0,True,-0.1519,True,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,1,0.1,2054,5762,0.3565,0.2225,0.0,0.1519,0.1519,10,1,0.1063,0.0379,0.0223,True,-0.0456,False,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,1,0.2,2054,5762,0.3565,0.2225,0.0,0.1519,0.1519,10,1,0.1519,0.0541,0.0287,True,-0.0,False,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,2,0.05,3453,5762,0.5993,0.1138,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,2,0.1,3453,5762,0.5993,0.1138,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,2,0.2,3453,5762,0.5993,0.1138,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,3,0.05,1600,5762,0.2777,0.195,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,3,0.1,1600,5762,0.2777,0.195,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,3,0.2,1600,5762,0.2777,0.195,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,0,0.05,2754,8693,0.3168,0.191,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,0,0.1,2754,8693,0.3168,0.191,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,0,0.2,2754,8693,0.3168,0.191,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,1,0.05,4082,8693,0.4696,0.1502,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,1,0.1,4082,8693,0.4696,0.1502,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,1,0.2,4082,8693,0.4696,0.1502,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,2,0.05,3330,8693,0.3831,0.1844,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,2,0.1,3330,8693,0.3831,0.1844,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,2,0.2,3330,8693,0.3831,0.1844,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,3,0.05,2737,8693,0.3149,0.1944,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,3,0.1,2737,8693,0.3149,0.1944,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,3,0.2,2737,8693,0.3149,0.1944,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,0,0.05,2754,8693,0.3168,0.191,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,0,0.1,2754,8693,0.3168,0.191,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,0,0.2,2754,8693,0.3168,0.191,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,1,0.05,4082,8693,0.4696,0.1502,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,1,0.1,4082,8693,0.4696,0.1502,0.0,0.1137,0.1137,10,1,0.0227,0.0107,0.0133,True,-0.091,False,False
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,1,0.2,4082,8693,0.4696,0.1502,0.0,0.1137,0.1137,10,1,0.1137,0.0534,0.0491,True,0.0,False,False
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,2,0.05,3330,8693,0.3831,0.1844,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,2,0.1,3330,8693,0.3831,0.1844,0.0,0.1396,0.1396,10,1,0.0139,0.0053,0.0057,True,-0.1257,False,False
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,2,0.2,3330,8693,0.3831,0.1844,0.0,0.1396,0.1396,10,1,0.1394,0.0534,0.0491,True,-0.0002,False,False
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,3,0.05,2737,8693,0.3149,0.1944,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,3,0.1,2737,8693,0.3149,0.1944,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,3,0.2,2737,8693,0.3149,0.1944,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,0,0.05,4304,11059,0.3892,0.1822,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,0,0.1,4304,11059,0.3892,0.1822,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,0,0.2,4304,11059,0.3892,0.1822,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,1,0.05,5011,11059,0.4531,0.1549,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
