proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,alpha,draws,n,coverage,acc,pi0,pi_alpha,pi_alpha_floor,A,A_min,A_max,A_queue,R,covered,R_max,gap,empty,predicted_empty
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,0.05,3,916.0,0.2531,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,0.1,3,916.0,0.2531,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,marginal,marginal,0.2,3,916.0,0.2531,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,0.05,3,916.0,0.2531,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,0.1,3,916.0,0.2531,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,30,flights_ni_inner30,0.25386,mondrian,column,0.2,3,916.0,0.2531,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,0.05,3,2470.0,0.4486,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,0.1,3,2470.0,0.4486,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,marginal,marginal,0.2,3,2470.0,0.4486,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,mondrian,column,0.05,3,2470.0,0.4486,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,mondrian,column,0.1,3,2470.0,0.4486,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,50,flights_ni_inner50,0.38622,mondrian,column,0.2,3,2470.0,0.4486,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,70,flights_ni_inner70,0.49439,marginal,marginal,0.05,3,2499.0,0.3546,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,70,flights_ni_inner70,0.49439,marginal,marginal,0.1,3,2499.0,0.3546,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,70,flights_ni_inner70,0.49439,marginal,marginal,0.2,3,2499.0,0.3546,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,70,flights_ni_inner70,0.49439,mondrian,column,0.05,3,2499.0,0.3546,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,70,flights_ni_inner70,0.49439,mondrian,column,0.1,3,2499.0,0.3546,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,70,flights_ni_inner70,0.49439,mondrian,column,0.2,3,2499.0,0.3546,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,10,hospital_ni_inner10,0.06637,marginal,marginal,0.05,3,1219.0,0.9667,0.7712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,10,hospital_ni_inner10,0.06637,marginal,marginal,0.1,3,1219.0,0.9667,0.7712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,10,hospital_ni_inner10,0.06637,marginal,marginal,0.2,3,1219.0,0.9667,0.7712,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,True,0.0185,0.0,False,False
baran,hospital,inner,10,hospital_ni_inner10,0.06637,mondrian,column,0.05,3,1219.0,0.9667,0.7712,0.0,0.1245,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,10,hospital_ni_inner10,0.06637,mondrian,column,0.1,3,1219.0,0.9667,0.7712,0.0,0.3486,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,10,hospital_ni_inner10,0.06637,mondrian,column,0.2,3,1219.0,0.9667,0.7712,0.0,0.6419,0.6419,0.0653,0.0625,0.0853,0.0613,0.0657,True,0.0729,-0.5794,False,False
baran,hospital,inner,30,hospital_ni_inner30,0.18526,marginal,marginal,0.05,3,3088.0,0.8773,0.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,30,hospital_ni_inner30,0.18526,marginal,marginal,0.1,3,3088.0,0.8773,0.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,30,hospital_ni_inner30,0.18526,marginal,marginal,0.2,3,3088.0,0.8773,0.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,30,hospital_ni_inner30,0.18526,mondrian,column,0.05,3,3088.0,0.8773,0.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,30,hospital_ni_inner30,0.18526,mondrian,column,0.1,3,3088.0,0.8773,0.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,30,hospital_ni_inner30,0.18526,mondrian,column,0.2,3,3088.0,0.8773,0.4882,0.0,0.0858,0.0839,0.0,0.0,0.0023,0.0,0.0,True,0.0119,-0.0816,False,False
baran,hospital,inner,50,hospital_ni_inner50,0.27879,marginal,marginal,0.05,3,4564.0,0.8616,0.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,50,hospital_ni_inner50,0.27879,marginal,marginal,0.1,3,4564.0,0.8616,0.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,50,hospital_ni_inner50,0.27879,marginal,marginal,0.2,3,4564.0,0.8616,0.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,50,hospital_ni_inner50,0.27879,mondrian,column,0.05,3,4564.0,0.8616,0.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,50,hospital_ni_inner50,0.27879,mondrian,column,0.1,3,4564.0,0.8616,0.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,50,hospital_ni_inner50,0.27879,mondrian,column,0.2,3,4564.0,0.8616,0.4261,0.0,0.0228,0.0188,0.0,0.0,0.0181,0.0,0.0,True,0.0,-0.0188,False,False
baran,hospital,inner,70,hospital_ni_inner70,0.35847,marginal,marginal,0.05,3,4626.0,0.6792,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,70,hospital_ni_inner70,0.35847,marginal,marginal,0.1,3,4626.0,0.6792,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,70,hospital_ni_inner70,0.35847,marginal,marginal,0.2,3,4626.0,0.6792,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,70,hospital_ni_inner70,0.35847,mondrian,column,0.05,3,4626.0,0.6792,0.2875,0.0268,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
