dataset,key,arm,alpha,delta,seeds,violations,mean_error,max_error,mean_automation
flights,src,random,0.2,0.1,30,0,0.0287,0.0539,0.1825
flights,src,drift,0.2,0.1,30,1,0.0524,0.4694,0.1807
