dataset,baseline,poison_frac,trusted_poison,scoring,realized_error,err_lo,err_hi,human_cost,applied_contamination,thm2_bound,within_thm2_bound,backend
rayyan,CARE,0.0,True,errors,0.053738317757009324,0.047663551401869134,0.059345794392523354,0.23021582733812945,0.0,0.2,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,LLMOnly,0.0,True,errors,0.0805755395683453,0.07338129496402876,0.08776978417266183,0.0,0.0,,,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,0.05,True,errors,0.09906542056074764,0.09112149532710277,0.10654205607476634,0.23021582733812945,0.04906542056074766,0.23925233644859814,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,LLMOnly,0.05,True,errors,0.12338129496402876,0.11546762589928054,0.131294964028777,0.0,0.047122302158273385,,,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,0.1,True,errors,0.14112149532710277,0.13364485981308408,0.14766355140186913,0.23021582733812945,0.0939252336448598,0.2751401869158879,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,LLMOnly,0.1,True,errors,0.16402877697841728,0.15431654676258993,0.17302158273381293,0.0,0.09280575539568345,,,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,0.2,True,errors,0.23317757009345796,0.22149532710280373,0.24532710280373834,0.23021582733812945,0.191588785046729,0.3532710280373832,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,LLMOnly,0.2,True,errors,0.2550359712230216,0.24244604316546764,0.2669064748201439,0.0,0.19352517985611511,,,baran:csvs/baran_rayyan_mapped.csv
