dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
flights_ni_inner50,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,LLMOnly,-,0.05,errors,0.0,0.948522975929978,0.05147702407002188,0.9503282275711159,False,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,LLMOnly,-,0.1,errors,0.0,0.948522975929978,0.05147702407002188,0.9503282275711159,False,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,CARE,marginal,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,CARE,mondrian,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,LLMOnly,-,0.2,errors,0.0,0.948522975929978,0.05147702407002188,0.9503282275711159,False,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
flights_ni_inner50,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/flights_ni_inner50/1/baran_flights_ni_inner50_mapped.csv
