dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital_ni_inner10,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,LLMOnly,-,0.05,errors,0.0,0.17387005649717516,0.8261299435028249,0.17824858757062148,False,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,LLMOnly,-,0.1,errors,0.0,0.17387005649717516,0.8261299435028249,0.17824858757062148,False,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,marginal,0.2,errors,0.9,0.01850282485875706,0.08149717514124294,0.055508474576271186,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,CARE,mondrian,0.2,errors,0.9346853146853148,0.06566276803118912,0.11006062238068537,0.11851851851851855,True,False,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,LLMOnly,-,0.2,errors,0.0,0.17387005649717516,0.8261299435028249,0.17824858757062148,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
hospital_ni_inner10,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner10/1/baran_hospital_ni_inner10_mapped.csv
